Value Type,Value,Seed
Train accuracy,0.8857287811865820,1
Test accuracy,0.8924655608658980,1
Run time,0.37105963230133100,1
Train accuracy,0.8890348389408010,2
Test accuracy,0.8865791137018050,2
Run time,0.28446709712346400,2
Train accuracy,0.8895105313547150,3
Test accuracy,0.8852012297372830,3
Run time,0.2381429632504780,3
Train accuracy,0.8867477823064010,4
Test accuracy,0.889685412026726,4
Run time,0.24507565100987800,4
Train accuracy,0.8875737862908080,5
Test accuracy,0.8876273052573630,5
Run time,0.2360942045847580,5
Train accuracy,0.8883887038204140,6
Test accuracy,0.8871314602844260,6
Run time,0.2911532998085020,6
Train accuracy,0.8859764480841650,7
Test accuracy,0.8862585796330020,7
Run time,0.24867896238962800,7
Train accuracy,0.8881296252088800,8
Test accuracy,0.8869516310461190,8
Run time,0.30288234949111900,8
Train accuracy,0.8882340622849790,23
Test accuracy,0.8882521489971350,23
Run time,0.3153602441151940,23
Train accuracy,0.8876364286992310,42
Test accuracy,0.8906492043374170,42
Run time,0.28038255373636900,42
